iter	Passed	Remaining
965	5657	199
966	5663	193
967	5668	187
968	5673	181
969	5679	175
970	5685	169
971	5690	163
972	5696	158
973	5702	152
974	5708	146
975	5713	140
976	5719	134
977	5725	128
978	5730	122
979	5736	117
980	5741	111
981	5747	105
982	5752	99
983	5758	93
984	5764	87
985	5769	81
986	5775	76
987	5780	70
988	5786	64
989	5792	58
990	5797	52
991	5803	46
992	5809	40
993	5814	35
994	5819	29
995	5825	23
996	5831	17
997	5836	11
998	5842	5
999	5847	0
